lID,road,neighborhood,npu
1238,McDaniel Street Southwest,Castleberry Hill,M
1239,West Paces Ferry Road Northwest,Argonne Forest,C
1240,Turner Road Southeast,Thomasville Heights,Z
1241,Sandridge Place Southwest,Sandlewood Estates,P
1242,Lois Place Northwest,Grove Park,J
1243,Greenhaven Drive Southeast,The Villages at East Lake,O
1244,Kennedy Street Northwest,English Avenue,L
1245,Marietta Boulevard Northwest,Bolton,D
1246,Commercial Avenue Northwest,Center Hill,J
1247,Honeysuckle Lane Southwest,Campbellton Road,R
1248,I 20,Dixie Hills,J
1249,East Brookhaven Drive Northeast,Brookhaven,B
1250,Blue Ridge Avenue Northeast,Poncey-Highland,N
1251,Westwood Avenue Southwest,Westwood Terrace,I
1252,Oldknow Drive Northwest,Collier Heights,I
1253,Ferncliff Place Northeast,Pine Hills,B
1254,Bouldercrest Drive Southeast,East Atlanta,W
1255,Fairburn Road,Fairburn Heights,H
1256,Amsterdam Avenue Northeast,Virginia Highland,F
1257,Bethany Forest Drive Southwest,Midwest Cascade,Q
1258,Tuckawanna Drive Southwest,Cascade Heights,I
1259,Memorial Drive Southwest,Downtown,M
1260,Trolley Line Trail,Kirkwood,O
1261,Mary George Avenue Northwest,Scotts Crossing,G
1262,Lockhaven Circle Southwest,Venetian Hills,S
1263,Lanier Place Northeast,Morningside/Lenox Park,F
1264,Pelham Street Northwest,English Avenue,L
1265,Collier Drive Northwest,Old Gordon,H
1266,Grange Drive Southeast,Thomasville Heights,Z
1267,Bill Lucas Drive Southwest,Summerhill,V
1268,Grant Road Southwest,Ben Hill Terrace,P
1269,Beverly Place Northwest,Grove Park,J
1270,Bonaventure Avenue Northeast,Virginia Highland,F
1271,Tower Hill Street Northwest,Carey Park,G
1272,Bell Street Northeast,Downtown,M
1273,Dekalb Avenue Northeast,Inman Park,N
1274,Lenox Circle Northeast,Morningside/Lenox Park,F
1275,Adamson Street Southwest,Mechanicsville,V
1276,Clifton Road Southeast,East Atlanta,W
1277,Lawton Street Southwest,Oakland City,S
1278,Habersham Road Northwest,Arden/Habersham,C
1279,Rome Drive Northwest,Hunter Hills,K
1280,Coleman Street Southwest,Pittsburgh,V
1281,Warner Street Southwest,Oakland City,S
1282,Leah Lane,East Atlanta,W
1283,Woodbourne Drive Southwest,Sylvan Hills,X
1284,Seminole Avenue Northeast,Poncey-Highland,N
1285,Forrest Trail Northwest,Channing Valley,C
1286,Arcadia Circle Northwest,Hunter Hills,K
1287,Lenox Road Northeast,North Buckhead,B
1288,Hamilton Boulevard Southwest,Glenrose Heights,Z
1289,Smith Street Southwest,Mechanicsville,V
1290,Town Commons Circle Northeast,Brookhaven,B
1291,Carolyn Street Southwest,Fairburn,P
1292,Permalume Northwest Place,Underwood Hills,D
1293,Hank Aaron Dr Southwest,Peoplestown,V
1294,Chatham Avenue Southwest,Cascade Avenue/Road,S
1295,McAfee Street Northwest,Downtown,M
1296,Vedado Way Northeast,Midtown,E
1297,Roxboro Road,Lenox,B
1298,Cleveland Circle Southwest,Perkerson,X
1299,Pharr Court North Northwest,Peachtree Heights West,B
1300,Mathews Avenue Northeast,Lake Claire,N
1301,Powers Ferry Road Northwest,Chastain Park,A
1302,Mangum Street Southwest,Castleberry Hill,M
1303,Langford Parkway,Sylvan Hills,X
1304,Vine Street Southwest,Atlanta University Center,T
1305,Bronx Street Northwest,Hunter Hills,K
1306,Ferris Street Southwest,Westwood Terrace,I
1307,Howell Mill Road Northwest,Underwood Hills,D
1308,North Avenue Northeast,Downtown,M
1309,Cornell Boulevard Southwest,Baker Hills,H
1310,Wells Street Southwest,Adair Park,V
1311,McLendon Avenue Northeast,Candler Park,N
1312,Morning Glory Pl,Morningside/Lenox Park,F
1313,Constitution Road Southeast,Leila Valley,Z
1314,County Line Road Southwest,Wildwood Forest,P
1315,Lexington Avenue Southwest,Adair Park,V
1316,North Highland Avenue Northeast,Poncey-Highland,N
1317,Jamaica Road Northwest,Collier Heights,I
1318,Polar Rock Road Southwest,Polar Rock,Z
1319,Wisteria Lane Southwest,Wisteria Gardens,H
1320,Berne Street Southeast,Grant Park,W
1321,Metropolitan Avenue Southeast,East Atlanta,W
1322,28th Street Northwest,Ardmore,E
1323,Clemont Drive Northeast,Virginia Highland,F
1324,McDonough Boulevard Southeast,Thomasville Heights,Z
1325,Brantley Street Northwest,Riverside,D
1326,Piedmont Avenue Northeast,Ansley Park,E
1327,Spelman Lane Southwest,The Villages at Castleberry H,T
1328,Miami Circle Northeast,Lindbergh/Morosgo,B
1329,Hartford Avenue Southwest,Capitol View,X
1330,Baker Ridge Drive Northwest,Collier Heights,I
1331,Erin Avenue Southwest,Capitol View,X
1332,Lang Drive Southwest,Polar Rock,Z
1333,King Alfred Drive Southwest,Kings Forest,P
1334,Paoli Avenue Southeast,East Atlanta,W
1335,Nelms Drive Southwest,Polar Rock,Z
1336,Triumph Drive Northwest,Cross Creek,C
1337,Estes Drive Southwest,Sylvan Hills,X
1338,Loomis Avenue Southeast,Grant Park,W
1339,Peachtree Hills Avenue Northeast,Peachtree Hills,B
1340,Killian Street Southeast,Grant Park,W
1341,Eden Avenue Southeast,Ormewood Park,W
1342,Hightower Place Northwest,Brookview Heights,G
1343,Campbellton Road,Ben Hill Terrace,P
1344,Margaret Mitchell Square,Downtown,M
1345,Decatur Street Southeast,Downtown,M
1346,Lowe Street Northwest,Riverside,D
1347,James Jackson Parkway Northwest,Monroe Heights,G
1348,Marbut Avenue Southeast,East Atlanta,W
1349,Carter Avenue Southeast,East Lake,O
1350,Peachtree Place NW,Midtown,E
1351,Fulton Street Southeast,Summerhill,V
1352,St Paul Avenue Northwest,Carey Park,G
1353,Montgomery Ferry Drive Northeast,Ansley Park,E
1354,Griffin Street Northwest,Vine City,L
1355,Humphries Street Southwest,Pittsburgh,V
1356,Burden Street Northwest,Whittier Mill Village,D
1357,Thayer Avenue Southeast,South Atlanta,Y
1358,Spring Park Drive Southwest,Audobon Forest,I
1359,Verdant Drive Southwest,Greenbriar,R
1360,Derry Avenue Southwest,Westview,T
1361,Chastain Street Southeast,Grant Park,W
1362,Forrest Street Northwest,Berkeley Park,D
1363,Mellrich Avenue Northeast,Kirkwood,O
1364,Berne Street Southeast,Ormewood Park,W
1365,Grant Terrace Southeast,Peoplestown,V
1366,Centra Villa Drive Southwest,Adams Park,R
1367,Pine Forest Drive Southeast,South River Gardens,Z
1368,Violet Street Southeast,Peoplestown,V
1369,Dunseath Avenue Northwest,Bolton,D
1370,Waterbury Drive Northwest,Dixie Hills,J
1371,Ashland Avenue Northeast,Inman Park,N
1372,Bell Street Southeast,Sweet Auburn,M
1373,Rickenbacker Way Northeast,North Buckhead,B
1374,Tell Road Southwest,Fairburn Tell,P
1375,Ralph David Abernathy Boulevard,Westview,T
1376,Landau Lane,Cascade Green,P
1377,Boulevard Southeast,Chosewood Park,Y
1378,Niskey Drive Southwest,Niskey Cove,P
1379,Glenwood Place Southeast,Ormewood Park,W
1380,Warren Court Northwest,Ridgewood Heights,C
1381,Herndon Street Northwest,Knight Park/Howell Station,K
1382,Lakeview Drive Northeast,Kirkwood,O
1383,Grant Way Southeast,Peoplestown,V
1384,Rockhaven Circle Northeast,Pine Hills,B
1385,Delmar Court Southeast,Ormewood Park,W
1386,North Avenue Northwest,Downtown,M
1387,Weyman Avenue Southwest,Peoplestown,V
1388,McGill Place Northeast,Old Fourth Ward,M
1389,Telford Terrace,Princeton Lakes,P
1390,Howell Mill Road Northwest,Channing Valley,C
1391,Amsterdam Avenue Northeast,Morningside/Lenox Park,F
1392,Emerson Avenue Southeast,Ormewood Park,W
1393,Wieuca Overlook Northeast,North Buckhead,B
1394,McLendon Avenue Northeast,Lake Claire,N
1395,Burgundy Terrace Southeast,Rosedale Heights,Z
1396,Chastain Drive Northeast,East Chastain Park,B
1397,Center Street Northwest,Carey Park,G
1398,Charleston Avenue Southeast,Lakewood Heights,Y
1399,Waterford Road Northwest,Collier Heights,I
1400,Rose Mill Court Southwest,Florida Heights,I
1401,Harbin Road Southwest,Laurens Valley,R
1402,PATH Parkway,Downtown,M
1403,Ivan Allen Jr Boulevard,Downtown,M
1404,Terry Street Southeast,Summerhill,V
1405,Gertrude Place Northwest,Grove Park,J
1406,Mayson Avenue Northeast,Edgewood,O
1407,Burroughs Avenue Southeast,Lakewood,Z
1408,Loghaven Drive Northwest,Collier Heights,I
1409,Bluefield Drive Southwest,Oakland City,S
1410,Fulton Street Southwest,Summerhill,V
1411,State Farm Drive,Downtown,M
1412,John Lewis Freedom Parkway Northeast,Candler Park,N
1413,Donnelly Avenue Southwest,Oakland City,S
1414,Connally Street Southeast,Summerhill,V
1415,Fairburn Pl SW,Ben Hill,P
1416,Sheridan Drive Northeast,Garden Hills,B
1417,West Ashland Avenue Northeast,Inman Park,N
1418,Pharr Court S Northwest,Peachtree Heights West,B
1419,University Avenue Southwest,Adair Park,V
1420,Flagstone Court Southwest,Wildwood (NPU-H),H
1421,Rock Street Northwest,Vine City,L
1422,Mountain Way Northeast,North Buckhead,B
1423,Boulder Park Drive Southwest,Mays,H
1424,Wieuca Trace Northeast,North Buckhead,B
1425,Pegg Road Southwest,Perkerson,X
1426,Tree Haven Drive Northeast,North Buckhead,B
1427,Albany Drive Southwest,Adams Park,R
1428,Wood Valley Road Northwest,West Paces Ferry/Northside,A
1429,Fletcher Street Southwest,Pittsburgh,V
1430,Piedmont Road Northeast,Lindridge/Martin Manor,F
1431,Antone Street Northwest,Berkeley Park,D
1432,Baker Circle Northwest,Center Hill,J
1433,Fairfield Road Northwest,Mt. Paran/Northside,A
1434,Lotus Avenue Northwest,Almond Park,G
1435,Pine Cone Drive Southwest,Heritage Valley,P
1436,Oakside Drive Southwest,Wisteria Gardens,H
1437,Wedgewood Drive Northwest,Carey Park,G
1438,Blackland Road Northwest,Tuxedo Park,A
1439,Talia Wood Circle Northwest,Grove Park,J
1440,Westside BeltLine Connector,Knight Park/Howell Station,K
1441,Bixby Street Southeast,Kirkwood,O
1442,Simpson Terrace Northwest,Grove Park,J
1443,Joseph E. Boone Boulevard Northwest,Hunter Hills,K
1444,Nassau Street Northwest,Downtown,M
1445,Harwell Road Northwest,Adamsville,H
1446,Braemar Avenue Southwest,Green Forest Acres,I
1447,Donald Lee Hollowell Parkway Northwest,English Park,G
1448,Law Street Northwest,Bankhead,K
1449,Houston Street Northeast,Downtown,M
1450,Sanderson Street Northeast,Edgewood,O
1451,Lakeshore Circle Northeast,Lindridge/Martin Manor,F
1452,Whitehall Street Southwest,Castleberry Hill,M
1453,Dixie Street Southeast,Kirkwood,O
1454,Cleveland Street Southeast,Reynoldstown,N
1455,Liberty Court,Bolton,D
1456,Gartrell Street Southeast,Sweet Auburn,M
1457,West Lake Avenue Northwest,Grove Park,J
1458,Old Wheat Street Northeast,Old Fourth Ward,M
1459,West Paces Ferry Road Northwest,Tuxedo Park,A
1460,Wisteria Way Northeast,Kirkwood,O
1461,Butner Road,Fairburn,P
1462,United Avenue Southeast,Grant Park,W
1463,John Wesley Dobbs Avenue Northeast,Downtown,M
1464,Milton Avenue Southeast,Chosewood Park,Y
1465,Harvel Drive Northwest,Center Hill,J
1466,Van Vleck Avenue Southeast,East Atlanta,W
1467,South Grand Avenue Northwest,Center Hill,J
1468,Niskey Lake Road Southwest,Niskey Lake,P
1469,Braddock Street Southwest,Sylvan Hills,X
1470,Maple Walk Circle,Betmar LaVilla,Y
1471,Charlotte Place Northwest,Grove Park,J
1472,Rhinehill Road Southeast,Lakewood,Z
1473,Richardson Street Southeast,Summerhill,V
1474,Grandview Avenue Northeast,Buckhead Village,B
1475,Westminster Drive Northeast,Ansley Park,E
1476,Kimberly Road Southwest,Ashley Courts,P
1477,Lanier Boulevard Northeast,Virginia Highland,F
1478,Polar Rock Avenue Southwest,Polar Rock,Z
1479,Bolton Road,Bankhead/Bolton,H
1480,Pinehurst Terrace Southwest,Oakland City,S
1481,Latona Drive Southwest,Glenrose Heights,Z
1482,Tuxedo Road Northwest,Chastain Park,A
1483,Amal Drive Southwest,Betmar LaVilla,Y
1484,Fairburn Road Southwest,Fairburn Tell,P
1485,Lillian Avenue Southwest,Adair Park,V
1486,Le Conte Highway Southwest,Bakers Ferry,H
1487,Owen Street Southeast,Lakewood Heights,Y
1488,Rockmart Drive Northwest,Hunter Hills,K
1489,Vineyards Drive Southeast,Rosedale Heights,Z
1490,Upshaw Street Southwest,Joyland,Y
1491,Annelaine Drive Southwest,West Manor,I
1492,East Lake Terrace Southeast,Kirkwood,O
1493,Goldsboro Road Northeast,Candler Park,N
1494,Harold Avenue Northeast,Lake Claire,N
1495,Wellington Walk,Princeton Lakes,P
1496,Stovall Boulevard Northeast,North Buckhead,B
1497,Whitehall Terrace Southwest,Mechanicsville,V
1498,Center Hill Avenue Northwest,Center Hill,J
1499,Renault Road Southeast,Orchard Knob,Z
1500,Ovidia Circle Southwest,Adams Park,R
1501,Francis Place Northwest,Grove Park,J
1502,Woodland Avenue Southeast,Custer/McDonough/Guice,W
1503,Abner Terrace Northwest,Carver Hills,G
1504,Jordan Street Southeast,Lakewood Heights,Y
1505,Chantilly Drive Northeast,Lindridge/Martin Manor,F
1506,Cecile Avenue Southeast,East Atlanta,W
1507,Loveridge Drive Southwest,Elmco Estates,P
1508,West Wieuca Road Northeast,North Buckhead,B
1509,Grant Street Southeast,Oakland,W
1510,Lenox Road Northeast,Lenox,B
1511,Kipling Circle Southeast,Thomasville Heights,Z
1512,Ezra Church Drive Northwest,Hunter Hills,K
1513,Quaker Street Southwest,Perkerson,X
1514,Walker Avenue Southeast,Ormewood Park,W
1515,Tupelo Street Southeast,East Lake,O
1516,Crew Street Southwest,Peoplestown,V
1517,Boulevard Lorraine Southwest,Adams Park,R
1518,Peachtree Road,Ridgedale Park,B
1519,Bakers Ferry Road Southwest,Baker Hills,H
1520,Wellington Street Southwest,Mozley Park,K
1521,Lullwater Place Northeast,Druid Hills,N
1522,Pelham Street Northwest,Bankhead,K
1523,West Lake Avenue Northwest,West Lake,J
1524,Inman Street Southwest,Westview,T
1525,Means Street Northwest,Marietta Street Artery,E
1526,County Line Road Southwest,Arlington Estates,P
1527,Santa Rosa Drive Southwest,Arlington Estates,P
1528,West Wesley Road,Peachtree Battle Alliance,C
1529,Ivydale Court Southwest,Campbellton Road,R
1530,Rockwell Street Southwest,Pittsburgh,V
1531,Santa Monica Drive Northwest,Collier Heights,I
1532,Garden Walk,Downtown,M
1533,Woodlawn Avenue Northwest,Grove Park,J
1534,City Line Avenue Northeast,Old Fourth Ward,M
1535,Chickadee Court Southwest,Audobon Forest,I
1536,Archcrest Drive Southeast,Blair Villa/Poole Creek,Z
1537,Gordon Place Southwest,West End,T
1538,Parc Drive Southwest,Southwest,R
1539,Camellia Lane Northeast,Lindbergh/Morosgo,B
1540,Elinor Place Northwest,Grove Park,J
1541,Bagwell Drive Southwest,Polar Rock,Z
1542,Mays Court Southwest,Fairburn Mays,H
1543,United Avenue Southeast,Boulevard Heights,W
1544,Garrett Street SE,Ormewood Park,W
1545,Briarcliff Terrace Northeast,Virginia Highland,F
1546,Flamingo Drive Southwest,Audobon Forest,I
1547,Renfro Drive Northwest,Collier Heights,I
1548,Trusco Way Southwest,Pittsburgh,V
1549,Adeline Avenue Northwest,Dixie Hills,J
1550,Middlesex Avenue Northeast,Morningside/Lenox Park,F
1551,Santa Barbara Drive Northwest,Collier Heights,I
1552,Deauville Court Northwest,Carver Hills,G
1553,Pinehurst Drive Southwest,Venetian Hills,S
1554,Kimball Road Southwest,Elmco Estates,P
1555,Hampton Street Northwest,Home Park,E
1556,Yonkers Avenue Northwest,Grove Park,J
1557,Merrill Avenue Southwest,Oakland City,S
1558,1st Street Northwest,Scotts Crossing,G
1559,Joseph E. Lowery Boulevard,Harris Chiles,T
1560,Stamford Road Southwest,Wisteria Gardens,H
1561,Willoughby Way Northeast,Old Fourth Ward,M
1562,Indiana Avenue Northeast,Lake Claire,N
1563,Penelope Street Northwest,Dixie Hills,J
1564,Atlanta Student Movement Boulevard,Atlanta University Center,T
1565,Boulevard Southeast,Cabbagetown,N
1566,Wessyngton Road Northeast,Morningside/Lenox Park,F
1567,Penelope Drive Northwest,Penelope Neighbors,J
1568,Shirley Place Northwest,Dixie Hills,J
1569,Habersham Road Northeast,South Tuxedo Park,B
1570,Park Street Southwest,Atlanta University Center,T
1571,Ester Drive Southwest,Wilson Mill Meadows,H
1572,Beechwood Drive Northwest,Mt. Paran/Northside,A
1573,Magna Carta Drive Northwest,Collier Heights,I
1574,Centra Villa Drive Southwest,Venetian Hills,S
1575,Welch Street Southwest,Pittsburgh,V
1576,Devon Drive,Southwest,R
1577,Ollie Street Northwest,Washington Park,K
1578,Donald Lee Hollowell Parkway Northwest,English Avenue,L
1579,Huber Street Northwest,Blandtown,D
1580,Azalia Street Southwest,West End,T
1581,Rey Street Northwest,Bolton Hills,G
1582,Delray Drive Northwest,Lincoln Homes,G
1583,Willowbrook Drive Southwest,Venetian Hills,S
1584,Channing Drive Northwest,Channing Valley,C
1585,The Prado Northeast,Ansley Park,E
1586,Bakers Ferry Road Southwest,Adamsville,H
1587,Murphy Avenue Southwest,Sylvan Hills,X
1588,Marietta Boulevard Northwest,Hills Park,D
1589,Jones Avenue Northwest,English Avenue,L
1590,Aberdeen Drive Northwest,Center Hill,J
1591,Revere Drive Northwest,Lincoln Homes,G
1592,Todd Street Southeast,Sweet Auburn,M
1593,Jackson Street Southeast,Sweet Auburn,M
1594,Brownlee Road Northwest,Adamsville,H
1595,Belvedere Avenue Southwest,Adams Park,R
1596,Rice Street Northwest,Knight Park/Howell Station,K
1597,Pansy Street Northwest,Dixie Hills,J
1598,Tilden Street Northwest,Knight Park/Howell Station,K
1599,Logan Street Southeast,Capitol Gateway,V
1600,3rd Street Northwest,Midtown,E
1601,Apache Trail Southwest,Arlington Estates,P
1602,Niles Avenue Northwest,Knight Park/Howell Station,K
1603,Armstead Place Northwest,Midtown,E
1604,Joseph E. Boone Boulevard Northwest,West Lake,J
1605,Kingsdale Drive Southwest,Magnum Manor,I
1606,Richmond Street Southeast,Summerhill,V
1607,Wilson Mill Road Southwest,Wisteria Gardens,H
1608,John Wesley Dobbs Avenue Northeast,Sweet Auburn,M
1609,Bagley Street Northeast,Garden Hills,B
1610,Gideons Drive Southwest,Mozley Park,K
1611,Stafford Street Southwest,Mozley Park,K
1612,Holly Street Northwest,Grove Park,J
1613,Joseph E. Lowery Boulevard,Knight Park/Howell Station,K
1614,Woodward Way Northwest,Woodfield,C
1615,Longwood Drive Northwest,Springlake,C
1616,Belfort Road Southeast,Orchard Knob,Z
1617,Nawench Drive Northwest,Brandon,C
1618,Edward Street Northwest,English Avenue,L
1619,Robinson Avenue Southeast,Grant Park,W
1620,Holly Road Northwest,Hunter Hills,K
1621,Bader Avenue Southwest,Sylvan Hills,X
1622,Polar Rock Place Southwest,Polar Rock,Z
1623,Dahlia Avenue Northwest,Dixie Hills,J
1624,Glenald Way Northwest,Cross Creek,C
1625,Whitaker Circle Northwest,West Lake,J
1626,Avon Avenue Southwest,Venetian Hills,S
1627,Marvin Lane Southwest,Campbellton Road,R
1628,Mayson Turner Road Northwest,Washington Park,K
1629,Glen Echo Drive Southwest,Southwest,R
1630,Peachtree Battle Avenue Northwest,Peachtree Battle Alliance,C
1631,Glenwood Park Drive SE,Grant Park,W
1632,Woodhaven Road Northwest,Tuxedo Park,A
1633,Emerald Avenue Southwest,Westview,T
1634,Taylor Street Northwest,Underwood Hills,D
1635,Northwest Center Street,Home Park,E
1636,Wabash Avenue Northeast,Old Fourth Ward,M
1637,Princeton Lakes Way,Princeton Lakes,P
1638,Hemphill Avenue Northwest,Home Park,E
1639,Oakdale Road Northeast,Candler Park,N
1640,Evelyn Way Northwest,Grove Park,J
1641,Rosaire Place Northwest,Cross Creek,C
1642,Lamsden Lane Northwest,Cross Creek,C
1643,Thirkeld Avenue Southeast,South Atlanta,Y
1644,Dill Avenue Southwest,Capitol View,X
1645,Shoreland Drive Southwest,Lake Estates,P
1646,Wildwood Park,Wildwood (NPU-H),H
1647,Casplan Street Southwest,Sylvan Hills,X
1648,Larchmont Circle Northwest,Collier Heights,I
1649,Woodbine Avenue Northeast,Kirkwood,O
1650,Clearwater Road Southwest,Ben Hill Forest,P
1651,Broadland Road Northwest,Chastain Park,A
1652,Mount Gilead Road Southwest,Heritage Valley,P
1653,Whittington Drive Northeast,North Buckhead,B
1654,Fairlie Street Northwest,Downtown,M
1655,Field Road Northwest,Brookview Heights,G
1656,Verbena Street Northwest,Dixie Hills,J
1657,Dodson Drive Southwest,Laurens Valley,R
1658,Cleburne Terrace Northeast,Poncey-Highland,N
1659,Tennelle Street Southeast,Cabbagetown,N
1660,Oakview Road Southeast,Kirkwood,O
1661,Mayson Turner Road Northwest,Bankhead,K
1662,Woodland Hills Avenue Northwest,Underwood Hills,D
1663,Rochelle Drive Southwest,Oakland City,S
1664,Sydney Street Southeast,Grant Park,W
1665,Newton Avenue Southeast,East Atlanta,W
1666,Woodstock Drive Southwest,Baker Hills,H
1667,Piper Circle Southeast,East Atlanta,W
1668,Latta St NE,Old Fourth Ward,M
1669,Ami Street Southeast,Summerhill,V
1670,Allendale Drive Southeast,East Lake,O
1671,Stanwood Avenue Southeast,Kirkwood,O
1672,Chester Avenue Southeast,Reynoldstown,N
1673,Fortress Avenue Southwest,Pittsburgh,V
1674,Daniel Avenue Southeast,East Lake,O
1675,Peachtree Center Cycle Track,Downtown,M
1676,Farrington Avenue Southeast,Peoplestown,V
1677,Gary Road Northwest,Center Hill,J
1678,Nehemiah Lane Southwest,Mays,H
1679,Redwine Road,Princeton Lakes,P
1680,Hogan Road Southwest,Deerwood,P
1681,Eggleston Street Southwest,West End,T
1682,Rankin Place Northeast,Old Fourth Ward,M
1683,Lucile Avenue Southwest,West End,T
1684,Dorothy Street Southeast,South Atlanta,Y
1685,Haynes Street Southwest,Castleberry Hill,M
1686,Howell Mill Road Northwest,Marietta Street Artery,E
1687,Trabert Avenue Northwest,Loring Heights,E
1688,Whetstone Creek PATH Trail,Bolton,D
1689,Skipper Place Northwest,Collier Heights,I
1690,Lookout Avenue Northwest,Almond Park,G
1691,Cativo Drive Southwest,Chalet Woods,I
1692,Narron Court Southwest,Deerwood,P
1693,Sells Avenue Southwest,West End,T
1694,Violet Street Southwest,Bush Mountain,S
1695,Bakers Ferry Road Southwest,Wilson Mill Meadows,H
1696,Bethel Drive Northwest,Dixie Hills,J
1697,Oxford Place Northeast,Lake Claire,N
1698,Lone Oak Avenue Southwest,Glenrose Heights,Z
1699,Margaret Street Southeast,Lakewood Heights,Y
1700,Peace Ave NE,Old Fourth Ward,M
1701,Old Hapeville Road Southwest,Glenrose Heights,Z
1702,Betsy Avenue Southwest,Florida Heights,I
1703,Meador Way Southeast,Lakewood Heights,Y
1704,Faith Avenue Southeast,Ormewood Park,W
1705,Carson Pass Southwest,Arlington Estates,P
1706,Deerwood Lane Southwest,Ben Hill,P
1707,Spring Park Drive Southwest,Cascade Heights,I
1708,Skipper Place,Collier Heights,I
1709,Ada Avenue Northwest,Almond Park,G
1710,South Gordon Street Southwest,Westwood Terrace,I
1711,Wildwood Lake Drive Southwest,Wildwood (NPU-H),H
1712,Champa Avenue Northwest,Knight Park/Howell Station,K
1713,Elbridge Drive Northwest,Bankhead,K
1714,Jernigan Place Southeast,Lakewood,Z
1715,Martin Luther King Jr Drive Southwest,Atlanta University Center,T
1716,8th Street Northwest,Midtown,E
1717,Central Avenue Southwest,Mechanicsville,V
1718,Gault Street Southeast,Chosewood Park,Y
1719,Imperial Circle Southwest,Southwest,R
1720,Waddell Street Northeast,Inman Park,N
1721,Beeler Drive Southwest,Perkerson,X
1722,Rumson Road Northeast,Garden Hills,B
1723,East Avenue Northwest,Grove Park,J
1724,Whiting Street Northwest,Center Hill,J
1725,Narmore Drive Northeast,Brookhaven,B
1726,Maynard Terrace Southeast,East Atlanta,W
1727,River Green Drive,Paces,A
1728,Burroughs Street Southeast,Chosewood Park,Y
1729,Emery Place Northeast,Kirkwood,O
1730,West Brookhaven Drive Northeast,Brookhaven,B
1731,Boulevard Southeast,Cabbagetown,W
1732,Mary Street Southwest,Pittsburgh,V
1733,Mercer Street Southeast,Grant Park,W
1734,Celeste Lane,Mays,H
1735,Lenox Pointe Northeast,Pine Hills,B
1736,Besto Drive Northwest,Bolton Hills,G
1737,Aaron Street Northwest,Penelope Neighbors,J
1738,Kendrick Avenue Southeast,Grant Park,W
1739,Rosalia Street Southeast,Grant Park,W
1740,Gates Place NW,Hills Park,D
1741,Hillsdale Drive Southeast,Browns Mill Park,Z
1742,Howell Mill Road Northwest,Blandtown,D
1743,County Line Road Southwest,Fairway Acres,P
1744,Dixie Hills Circle Northwest,Grove Park,J
1745,Lindbergh Drive,Lindbergh/Morosgo,B
1746,Lionel Hampton PATH Trail,Mozley Park,K
1747,Bridges Avenue,Bush Mountain,S
1748,Howell Mill Road Northwest,Castlewood,C
1749,Briar Trail Court Southwest,Briar Glen,P
1750,Sandspring Drive Southwest,Sandlewood Estates,P
1751,Telhurst Street Southwest,Florida Heights,I
1752,Vanira Avenue Southeast,Peoplestown,V
1753,Flat Shoals Road Southeast,East Atlanta,W
1754,Melbenan Drive Southwest,Horseshoe Community,I
1755,Jenny Wren Lane Southwest,Audobon Forest,I
1756,Bass Street Southeast,Summerhill,V
1757,Beecher Street Southwest,Cascade Avenue/Road,S
1758,Wesley Drive Northwest,Memorial Park,C
1759,Ruzelle Drive Southeast,Glenrose Heights,Z
1760,Roxboro Road,Ridgedale Park,B
1761,Kipling Street Southeast,Thomasville Heights,Z
1762,Tee Road Southwest,Harland Terrace,I
1763,Alaska Avenue Northeast,Old Fourth Ward,M
1764,Pharr Road Northeast,Garden Hills,B
1765,Scott Street Northwest,Hunter Hills,K
1766,Elliott Street Northwest,Carey Park,G
1767,Fennel Way Southwest,Wilson Mill Meadows,H
1768,Krog Street Northeast,Inman Park,N
1769,Old Hills Avenue Northwest,Underwood Hills,D
1770,8th Street Northwest,Marietta Street Artery,E
1771,Holmes Street Northwest,Berkeley Park,D
1772,Hilliard Street Northeast,Sweet Auburn,M
1773,Peachtree Road Northeast,Buckhead Forest,B
1774,Travis Street Northwest,English Avenue,L
1775,Giben Road Southwest,Amal Heights,Y
1776,Wilbur Avenue Southeast,Reynoldstown,N
1777,Fulton Industrial Boulevard Northwest,Bankhead/Bolton,H
1778,Ayrshire Circle Northwest,Center Hill,J
1779,Pembroke Place Northeast,Sherwood Forest,E
1780,Dekalb Avenue Northeast,Candler Park,N
1781,Pryor Road Southwest,Polar Rock,Z
1782,Langford Parkway,Lakewood Heights,Y
1783,Allene Avenue Southwest,Adair Park,V
1784,Cleveland Avenue Southwest,Glenrose Heights,Z
1785,Ward Drive Southwest,Glenrose Heights,Z
1786,Fox Street Northwest,English Avenue,L
1787,Los Angeles Avenue Northeast,Virginia Highland,F
1788,North Avenue Northwest,English Avenue,L
1789,Defoor Avenue Northwest,Underwood Hills,D
1790,Adams Drive Southwest,Southwest,R
1791,26th Street Northwest,Brookwood,E
1792,Wichita Drive Southwest,Venetian Hills,S
1793,Waynes Court Southeast,South River Gardens,Z
1794,Seaboard Avenue Northwest,Underwood Hills,D
1795,Mark Place Northwest,Fairburn Heights,H
1796,McWilliams Road Southeast,Leila Valley,Z
1797,Land O Lakes Court Northeast,North Buckhead,B
1798,Cox Avenue Southwest,Capitol View,X
1799,Little Street Southeast,Grant Park,W
1800,St Charles Avenue Northeast,Midtown,E
1801,Kent Street Southeast,Grant Park,W
1802,Collier Commons Northwest,Channing Valley,C
1803,Hatteras Way,Whittier Mill Village,D
1804,Delbridge Street Northwest,Vine City,L
1805,Northyards Blvd. NW,English Avenue,L
